names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
HD,0.0261,0.05328,0.01943,0.06313,-0.0109,-0.00072,-0.02477,0.00776,0.09135,0.01357,0.09014,0.054,0.05999,-0.09273,-0.01647,0.0368,0.01503,0.04583,0.0124,0.02165,0.03178,-0.15095,0.0312,-0.04714,0.06815,0.00877,0.04424,0.06155,-0.06799,0.10302,0.0275,0.06654,0.02421,0.01103,-0.05998,-0.00337,0.04451,-0.04498,-0.13686,0.17739,0.13033,0.01419,0.0598,0.07364,-0.02063,-0.03961,0.04012,-0.0372,0.01958,-0.04608,0.18891,0.06034,-0.01471,0.0052,0.02916,-0.00612,0.01151,0.13246,0.07766,0.04021
ADBE,0.10131,0.04375,0.09963,0.02774,0.06071,-0.00296,0.0357,0.05918,-0.03854,0.17415,0.03602,-0.03433,0.13992,0.04691,0.03323,0.02555,0.12491,-0.02194,0.00357,0.07696,0.02444,-0.08961,0.02087,-0.09825,0.09539,0.05924,0.0152,0.08541,-0.06344,0.08767,0.01429,-0.04802,-0.02903,0.00608,0.1137,0.06552,0.06467,-0.01714,-0.07789,0.11124,0.0932,0.126,0.0207,0.15545,-0.04472,-0.08835,0.07016,0.04525,-0.08268,0.00196,0.03415,0.06936,-0.0074,0.16065,0.06145,0.06768,-0.13256,0.12965,0.02997,-0.15345
CSCO,0.02533,0.11263,-0.01112,0.01674,-0.07455,-0.00729,0.01416,0.02417,0.04409,0.02427,0.09224,0.02681,0.09266,0.078,-0.04221,0.04091,-0.03567,0.00749,-0.00958,0.12958,0.01842,-0.0532,0.04634,-0.09484,0.10016,0.09473,0.04288,0.04288,-0.07006,0.05189,0.01851,-0.15505,0.05554,-0.0313,-0.04631,0.05849,-0.03456,-0.13139,-0.01553,0.08785,0.12836,-0.02468,0.01783,-0.10361,-0.06703,-0.08014,0.19833,0.04021,0.00436,0.00651,0.15244,-0.00852,0.03909,0.00189,0.05194,0.06592,-0.07777,0.03531,-0.02019,0.15554
INTU,0.03765,0.05785,-0.07533,0.08261,0.12323,-0.05567,0.03581,0.0309,0.00488,0.06535,0.04105,0.00356,0.06666,-0.00619,0.03889,0.06845,0.09097,0.01342,0.00156,0.07457,0.03613,-0.07014,0.01673,-0.08241,0.09891,0.14507,0.05778,-0.03785,-0.02474,0.06731,0.06299,0.03985,-0.07775,-0.02979,0.0054,0.01174,0.0725,-0.05182,-0.13485,0.17555,0.07602,0.02022,0.03615,0.12736,-0.05553,-0.03365,0.11866,0.07906,-0.04752,0.08003,-0.01815,0.07749,0.06534,0.11633,0.08246,0.06819,-0.04699,0.16176,0.04203,-0.01392
AMZN,0.09816,0.02618,0.04911,0.04337,0.07528,-0.02676,0.02043,-0.00727,-0.01963,0.14972,0.06466,-0.00619,0.24064,0.04243,-0.04305,0.08207,0.04054,0.04307,0.04568,0.13236,-0.00482,-0.20219,0.05767,-0.11135,0.14432,-0.04591,0.08594,0.08186,-0.07861,0.06679,-0.01418,-0.04847,-0.02273,0.02347,0.01359,0.02612,0.08706,-0.06221,0.03502,0.2689,-0.01278,0.12957,0.14711,0.09046,-0.08758,-0.03575,0.04344,0.02806,-0.01558,-0.03533,0.00037,0.12066,-0.07047,0.06736,-0.03272,0.04303,-0.05352,0.0266,0.03992,-0.04925
NVDA,0.02286,-0.06935,0.07341,-0.0425,0.38541,0.00145,0.12417,0.04354,0.05506,0.15685,-0.02882,-0.03592,0.27028,-0.01485,-0.04302,-0.02889,0.12202,-0.06063,0.0336,0.14691,0.00121,-0.24977,-0.22404,-0.18314,0.07678,0.07423,0.16401,0.00802,-0.25074,0.21239,0.02734,-0.00619,0.03916,0.15482,0.07899,0.08563,0.0048,0.14301,-0.02396,0.1088,0.21466,0.0706,0.11761,0.25999,0.01196,-0.07365,0.06921,-0.02556,-0.005,0.05579,-0.02639,0.12445,0.08228,0.23162,-0.02517,0.14821,-0.07456,0.23417,0.27805,-0.09981
COST,0.02398,0.08358,-0.05356,0.05862,0.06069,0.06069,-0.11362,-0.00888,-0.00807,0.04817,-0.01954,0.14831,0.00916,0.04701,-0.01781,-0.01294,0.04633,0.00841,0.05418,0.04656,0.06856,0.00751,-0.02661,0.01401,-0.11921,0.05361,0.02193,0.10698,0.014,-0.02163,0.10301,0.04303,0.07175,-0.02256,0.03349,0.00909,-0.01965,0.03947,-0.07787,0.01419,0.06513,0.01805,-0.01705,0.07593,0.06798,0.02111,0.00931,0.09549,-0.01345,-0.06463,-0.05896,0.06489,0.05787,0.01661,0.046,0.08807,0.05997,-0.01348,0.09565,0.09733
NFLX,0.13659,0.01009,0.03996,0.0297,0.07142,-0.08377,0.21585,-0.03826,0.03801,0.08315,-0.04505,0.02335,0.40811,0.07799,0.01362,0.05793,0.12526,0.11328,-0.1379,0.08958,0.01754,-0.19338,-0.05186,-0.06455,0.2684,0.05479,-0.0043,0.03921,-0.07357,0.07003,-0.12068,-0.09053,-0.08895,0.07395,0.09481,0.02832,0.06651,0.06937,0.01753,0.11811,-0.00029,0.08413,0.07437,0.08321,-0.05576,-0.04858,0.03145,0.10196,-0.01542,0.01213,-0.0319,-0.0157,-0.02076,0.05052,-0.02014,0.09974,0.0723,0.13103,-0.07013,-0.06147
CMCSA,0.09225,-0.00769,0.00454,0.04694,0.06379,-0.06266,0.03931,0.00396,-0.05245,-0.05982,0.04191,0.06686,0.06599,-0.1486,-0.05634,-0.07614,-0.00669,0.05228,0.09677,0.03382,-0.04271,0.08283,0.02281,-0.12228,0.07401,0.05742,0.03388,0.09451,-0.05812,0.03122,0.02605,0.02525,0.01853,-0.00108,-0.01495,0.01857,-0.03509,-0.0639,-0.14395,0.09453,0.05235,-0.00985,0.098,0.04696,0.03236,-0.08218,0.18939,0.04299,-0.04965,0.06355,0.02637,0.04243,0.02119,-0.00558,0.03622,0.03145,-0.07828,-0.07641,-0.02819,0.007
CRM,0.15542,0.02845,0.01401,0.04401,0.04087,-0.03391,0.0485,0.05165,-0.02168,0.09548,0.01935,-0.02003,0.11425,0.02054,0.00043,0.04033,0.06893,0.05467,0.0055,0.11323,0.04159,-0.13702,0.04022,-0.04056,0.10951,0.07686,-0.03226,0.04407,-0.08431,0.00211,0.01826,0.01016,-0.04889,0.05423,0.0409,-0.00153,0.12094,-0.06533,-0.15505,0.12481,0.07928,0.07174,0.04014,0.39928,-0.07823,-0.0758,0.05825,-0.09467,0.01362,-0.04017,-0.02139,0.08708,0.03378,0.02591,-0.00958,0.09647,0.02243,0.10497,-0.04915,-0.10819
